ID,UCID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Critical,Process Type,Application Type,Technology,CrossSector,CrossBorder,Uptake,Interaction,Data Scope 1,Data Scope 2,OSS,interOp I,"IoP Level 1
 Technical","IoP Level 2
Semantical","IoP Level 3
Legal","IoP Level 4
Organisational",EIF Principle 1,EIF Principle 2,AI Action 1,AI Action 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,Date-added,Date-updated
7,AIWT6-007,Walloon - Agricultural subsidy monitoring with the use of GeoAI,https://inspire.ec.europa.eu/sites/default/files/1._location_intelligence_-_gartner_v1.2.pdf,Walloon uses geo AI with satellite imagery to check whether subsidy requirements are met ,Regional,Belgium,BE2,Département de l'Agriculture,Local Government,Economic affairs,"Agriculture, forestry, fishing and hunting",Implemented,2020,,Learning,Machine learning,Computer vision,Automated reasoning,,,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Artificial Intelligence,Yes,Yes,,G2B,Dynamic Data,Location Data,,AI4IOP,No,Yes,No,No,Administrative simplification,Assessment of Effectiveness and Efficiency,Detection ?,,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,ELISE INSPIRE webinar 3-6-2020 https://inspire.ec.europa.eu/sites/default/files/1._location_intelligence_-_gartner_v1.2.pdf,01/01/2020,15/06/2021
9,AIWT6-009,Flemish Infoline - Automatic classification of incoming phone calls,https://www.innovatieveoverheidsopdrachten.be/en/projects/1700-supported-artificial-intelligence,"NLP is used to automatically classify incoming telephone questions at the 1700 (Flemish Infoline), to integrally transcribe and document the conversations, and to suggest answers. Informatie Vlaanderen use it to detect and categorise the incoming questions faster and more 'finely-meshed', and also integrate this 'finely-meshed' into the editorial management. In this way, the answers can be suggested more quickly, more adequately and also more 'automatically' to the answer provider, regardless of the chosen communication channel (oral or written). In essence, the project aims at two objectives: (1) the quicker and more efficient capturing and categorising of the question, and (2) the quicker and more efficient forwarding of the 'correctly captioned' question to the 'correct' answer provider with the 'correct' skills, whereby a valid and standardised answer (suggestion) is immediately sent along with it (so that the answer provider does not have to look up the intended answer script).",Regional,Belgium,BE2,"Information Flanders, Belgium",Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2020,,Communication,Natural language processing,Machine learning,Searching,Audio processing,speech recognition,,Public services and engagement,Engagement management,Artificial Intelligence,No,No,,G2C,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,No,Yes,User-centricity,Administrative simplification,Classification,"Digitising
Automate",Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.innovatieveoverheidsopdrachten.be/en/projects/1700-supported-artificial-intelligence,01/01/2020,14/06/2021
10,AIWT6-010,ILVO - List of multiple AI projects in the agricultural domain,https://ilvo.vlaanderen.be/en/search-results?q=Artificial+intelligence&id=home&l=en,"The Institute for Agricultural, Fisheries and Food Research (ILVO) evaluated the possibilities of Artificial Intelligence for agricultural applications. Most applications are still in an initial phase and often in collaboration with other knowledge centers. Some concrete projects are: o Processing of hyperspectral images for early detection of potato diseases o Automatic health monitoring in cattle (e.g. lameness detection) o Automatic health monitoring in fattening pigs o Image analysis for multiple specific applications (e.g. quality food products, sorting fish species, etc.) o Behavior of plants under the influence of external stimuli o Identification of problem insects (eg zip needles) via camera images o Site-specific detection of problem weeds",National,Belgium,BE100,"Instituut voor Landbouw-, Visserij- en Voedingsonderzoek",Central-Government,Economic affairs,"General economic, commercial and labour affair",In development,2019,,Perception,Computer vision,Machine learning,,,,,Public services and engagement,Service integration (various),Artificial Intelligence,No,No,,G2B,Historical Data,Location Data,,AI4IOP,No,Yes,No,No,Administrative simplification,Assessment of Effectiveness and Efficiency,Detection ?,,Improved Public Service,,,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Flemish Parlement Letter: Applications involving Artficial Intelligence. , Pub. L. No. nr. 138 (2017-2018), 2017–2018 2 (2017). and https://www.ilvo.vlaanderen.be/language/en-US/EN/Press-and-Media/All-media/ArticleType/ArticleView/ArticleID/4920.aspx",01/01/2020,15/06/2021
11,AIWT6-011,Belgium - Detection batch numbers vaccins,https://www.kindengezin.be/nl,"Child and Family has a proof of concept regarding recognition and reading of lot numbers on vaccine packages via the camera of a smartphone. Lot numbers on vaccine packages are not standardized. The goal is to make it easier to store the lot number at the vaccination registration, so that it can always be found afterwards with what specific fate a child was vaccinated.",National,Belgium,BE,"Kind en Gezin, Belgium",Central-Government,Health,"Medical products, appliances and equipment.",In development,2018,,Perception,Computer vision,Machine learning,,,,,Internal management,Internal primary processes,Artificial Intelligence,No,No,,G2G,Dynamic Data,Dynamic Data,,AI4IOP,Yes,No,No,No,Administrative simplification,User-centricity,"Digitising
Automate",,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,x,,,x,,,,FALSE,,,,"Flemish Parlement Letter: Applications involving Artficial Intelligence. , Pub. L. No. nr. 138 (2017-2018), 2017–2018 2 (2017).",01/01/2020,15/06/2021
13,AIWT6-013,Camera System - Mobile phone usage on vehicles, https://baseline.vias.be/storage/minisites/methodological-guidelines-kpi-distraction.pdf,"Traffic institute Vias is currently testing a new camera system that registers whether a motorist behind the wheel is on the phone with the phone in hand. Using Artificial Intelligence, the system filters the photos showing that the driver is using a smartphone. Other photos are deleted and faces are made unrecognizable. If the police establishes a violation based on that selection, they can issue a fine.",Local,Belgium,BE,Traffic Institute Vias,Local Government,Public order and safety,Police Services,Pilot,2020,,Perception,Computer vision,Machine learning,Automated reasoning,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,,Yes,,G2G,Dynamic Data,Dynamic Data,,AI4IOP,No,Yes,Yes,No,User-centricity,Assessment of Effectiveness and Efficiency,Detection ?,,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,https://www.vias.be/nl/newsroom/succesvolle-test-met-camerasysteem-om-gsm-gebruik-achter-het-stuur-te-detecteren-/,01/01/2020,14/06/2021
31,AIWT6-031,WaterAnalytics - Water quality monitoring,https://www.wateranalytics.eu/,The Water Development Department in Cyprus is using AI algorithms for the analysis of water monitoring data (such as hydraulics and water quality).,National,Cyprus,CY,"The Water Development Department, The Water Development Department, Cyprus",Governmental,Housing and community amenities,Water supply.,Pilot,2018,2020,Learning,Machine learning,Optimisation,,,,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Artificial Intelligence,,No,,G2G,Historical Data,Location Data,,AI4IOP,Yes,Yes,Yes,No,Assessment of Effectiveness and Efficiency,Administrative simplification,Detection ?,"Structuring
Transform",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,x,,,x,,,,FALSE,,,,"Mail to AI Watch (25-5-2020), Updated with mail to AI Watch 3-2-2021",01/01/2020,14/06/2021
36,AIWT6-036,Erhvervsstyrelsen - Detection of errors in business statements,https://datacvr.virk.dk/data/offentliggorelse?dl_ref=ZG9rdW1lbnRsYWdlcjovLzAzLzdkLzJlL2U3LzM4LzFkZWUtNGVlYy04YThmLTUzODk3OTlmNjAwMw,A project by the Danish Business Authority (Erhvervsstyrelsen) to use ML to identify fraud and highlight material errors in financial statements.,National,Denmark,DK,Danish Business Authority,Central-Government,Economic affairs,"General economic, commercial and labour affair",Implemented,2017,,Learning,Machine learning,Automated reasoning,,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,,No,,G2B,Dynamic Data,Streaming Data,,AI4IOP,No,Yes,Yes,Yes,Assessment of Effectiveness and Efficiency,Administrative simplification,Detection ?,,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://joinup.ec.europa.eu/sites/default/files/custom-page/attachment/2020-07/Study%20on%20public%20sector%20data%20strategies%2C%20policies%20and%20governance%20%E2%80%93%20ANNEX%20Case%20studies.pdf,01/01/2020,
42,AIWT6-042,CHAIN - Smart Water optimising energy consumption ,,Sensors analyse the water consumption in order to optimise energy consumption in Aarhus municipality. AI will be used to analyze the big amounts of data from sensors about water consumption and to monitor its quality. ,Local,Denmark,DK,Aarhus Municipality,Local Government,Housing and community amenities,Water supply.,Pilot,2016,,Learning,Machine learning,Optimisation,,,,,Enforcement,Supporting inspection processes,Artificial Intelligence,,No,,G2C,Dynamic Data,Location Data,,AI4IOP,Yes,Yes,Yes,No,Assessment of Effectiveness and Efficiency,Administrative simplification,Detection ?,"Structuring
Transform",Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://www.aquatechtrade.com/news/article/video-story-digital-denmark/,01/01/2020,
55,AIWT6-055,SATIKAS -  Detecting the agricultural grasslands changes, https://kosmos.ut.ee/en/news/information-system-satikas-helps-detect-mowing-using-satellite-data,"In the Estonian Agricultural Registers and Information Board (ARIB), AI is used in order to detect whether the agricultural grasslands have been mowed or not using image recognition. This system, called SATIKAS , uses deep learning methods and convolutional neural network approaches to analyse the satellite data coming from the European COPERNICUS programme to automatically detect whether mowing has taken place on the Estonian grasslands. The optical satellite images from Sentinel 1 and 2 are analysed together with reference data of farmer fields, historical inspection logs and meteorological data from the Estonian Weather Service. This AI system is now regarded as one of the first AI applications used by the government in Estonia. The SATIKAS system is still under development and will expand its features and capabilities in the near future.",National,Estonia,EE,Estonian Agricultural Registers and Information Board (ARIB),Central-Government,Economic affairs,"Agriculture, forestry, fishing and hunting",Implemented,2018,,Learning,Machine learning,Computer vision,,,,,Enforcement,Smart Recognition processes,Artificial Intelligence,,Yes,,G2C,Dynamic Data,Location Data,,AI4IOP,No,Yes,No,No,Administrative simplification,Assessment of Effectiveness and Efficiency,Detection ?,,Improved Public Service,,,x,x,,FALSE,FALSE,,,,,,,,FALSE,,,,https://kosmos.ut.ee/en/news/information-system-satikas-helps-detect-mowing-using-satellite-data,01/01/2020,
58,AIWT6-058,EE Parliament- A system for preparing of verbatim reports, https://www.riigikogu.ee/en/press-releases/others/the-riigikogu-has-a-new-system-for-making-verbatim-reports/,"The speech recognition system helps transcribe the speeches given at the rostrum of the Estonian Parliament (Riigikogu). The Chancellery of the Riigikogu is currently required to publish a verbatim report within one hour from the end of the sitting. It takes a lot of human effort to do that, and the burden falls on stenographers. By deploying speech recognition, it will increase the efficiency and accuracy in transcripts of the sessions. Also, the plan is to start providing verbatim recordings as machine-readable open data, so other systems can use that data freely as well.",National,Estonia,EE,Estonian Parliament (Riigikogu),Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2020,,Perception,Audio processing,Machine learning,Natural language processing,,speech recognition,,Internal management,Internal primary processes,Artificial Intelligence,No,Yes,,G2G,Dynamic Data,Dynamic Data,Yes,AI4IOP,Yes,Yes,Yes,Yes,Preservation of information,Transparency,"Structuring
Transform","Digitising
Automate",FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,x,,,x,x,,,Open government capabilities,x,x,,https://m.riigikogu.ee/en/press-releases/others/the-riigikogu-has-a-new-system-for-making-verbatim-reports/,01/01/2020,16/06/2021
