PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),Geographical coverage (NUTS 2021),Responsible Organisation,Responsible Organisation category,COFOG Level I,COFOG Level II,Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Technology,Interaction,Improved Public Service,Personalised Services,Public (citizen)-centred services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Date-updated
PSTW-1,AMS - public empolyment service,https://www.frontiersin.org/articles/10.3389/fdata.2020.00005/full,"As of 2020, the Public Employment Service Austria (AMS) makes use of algorithmic profiling of job seekers to increase the efficiency of its counseling process and the effectiveness of active labor market programs. Based on a statistical model of job seekers' prospects on the labor market, the system—that has become known as the AMS algorithm—is designed to classify clients of the AMS into three categories: those with high chances to find a job within half a year, those with mediocre prospects on the job market, and those clients with a bad outlook of employment in the next 2 years. Depending on the category a particular job seeker is classified under, they will be offered differing support in (re)entering the labor market  A coalition of civil society organizations started a campaign to rescind an algorithm used by Austria’s employment agency. The system has been declared illegal by the Austrian data protection agency.",National,Austria,AT,Public Employment Service Austria,Central-Government,Social protection,Unemployment.,Not in use anymore,2020,,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,G2C,x,,,x,x,,,,,,,,,,x,,,x,"(https://www.derstandard.at/story/2000119486931/datenschutzbehoerde-kippt-umstrittenen-ams-algorithmus) https://www.frontiersin.org/articles/10.3389/fdata.2020.00005/full, https://amsalgorithmus.at/ and https://www.derstandard.at/story/2000119486931/datenschutzbehoerde-kippt-umstrittenen-ams-algorithmus",Learning,Machine learning,Knowledge representation,,,,06/10/2023
PSTW-2,Mona - Public chatbot for companies on the subject of the economy,https://www.usp.gv.at/Portal.Node/usp/public,"The new chatbot ""Mona"" is intended to cover all relevant questions for companies on the subject of the economy, and previously on the corona crisis. The service of the Federal Ministry for Digitization and Business Location (BMDW) is available online on the ""Unternehmens Service Portal"" (USP, Company service portal ) website and can also be used on mobile devices. The service can be found on the home page of the USP and is intended to provide companies with important information on essential points such as subsidies, labor law matters such as short-time work and teleworking in a simple way during these difficult times . On the one hand, users can ask freely formulated questions, on the other hand there is a classic information channel in which more detailed information is provided step by step on the three central topics of work, financial aspects and research at the click of a mouse.",National,Austria,AT,"Unternehmensservice Portal, Austria",Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2020,,Public services and engagement,Engagement management,No,No,Artificial Intelligence,G2C,x,,x,x,x,,,,,,,,,,,,,,https://oecd-opsi.org/covid-response/infopoint-mona-unternehmensser-viceportal-usp-chatbot/and https://www.usp.gv.at/Portal.Node/usp/public ,Communication,Natural language processing,Machine learning,Searching,,chatbot,06/10/2023
PSTW-3,CitizenLab - Youth for Climate,https://community.youth4climate.info/homepage,"Collecting input was just the easy part: in order to turn these ideas into meaningful actions and recommendations, Youth forClimate needed to process thousands of ideas in a short period of time. This was a perfect use case for the automated data analysis feature of the CitizenLab platform. As we accompanied Youth forClimate through the process of collecting and analysing the input, we were able to test our NLP technology on a wide scale, and run it on thousands of contributions written in multiple languages. Here are a few of the learnings we made along the way. ",National,Belgium,BE,"CitizenLab, Belgium",Private sector,Environmental protection,Environmental protection n.e.c.,Implemented,2019,,Public services and engagement,Engagement management,No,No,Artificial Intelligence,G2C,x,,x,,x,,,,,,,,,,x,x,x,x,https://www.citizenlab.co/blog/product-update/natural-language-processing-at-citizenlab-how-machine-learning-can-transform-citizen-engagement-projects/,Learning,Machine learning,Natural language processing,,,sentiment analysis,06/10/2023
PSTW-4,Walloon - Agricultural subsidy monitoring with the use of GeoAI,https://inspire.ec.europa.eu/sites/default/files/1._location_intelligence_-_gartner_v1.2.pdf,Walloon uses geo AI with satellite imagery to check whether subsidy requirements are met. Automatic and continuous monitoring of 100% of agriculture parcels and crops vs. 5% punctual compliance checks through field visits: taxpayer’s money spent better using satellite images and image processing algorithms.,Regional,Belgium,BE2,Département de l'Agriculture,Local Government,Economic affairs,"Agriculture, forestry, fishing and hunting",Implemented,2020,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Yes,Yes,Artificial Intelligence,G2B,x,,,x,x,,,,,,,,,,,,,,ELISE INSPIRE webinar 3-6-2020 https://inspire.ec.europa.eu/sites/default/files/1._location_intelligence_-_gartner_v1.2.pdf,Learning,Machine learning,Computer vision,Automated reasoning,,,06/10/2023
PSTW-5,AcPaas - Technical procurement documents comparison,https://acpaas.digipolis.be/nl/home,"The city of Antwerp has a platform called Antwerp City Platform as a Service (Acpaas) that uses NLP to compare a technical document of a procurement (or an offer/call?) and find the already existent IT components they have in house (API, applications, etc) that could possibly satisfy some of the requirements. To do this, they compare the text of the files of the offer to the ones of the metadata of the components. In the case of the API they do some preprocessing and extract the descriptive information from the metadata files. They also have launched an experimental service that compares technical diagrams with the metadata of the IT components. ",Local,Belgium,BE21,Digipolis & city of Antwerp,Private sector,General public services,General public services n.e.c.,Implemented,2020,,Internal management,Internal support processes,No,No,Artificial Intelligence,G2C,x,,,x,x,,,,,,,,,,,,,,https://acpaas.digipolis.be/nl/product/NLP-engine/about,Reasoning,Automated reasoning,Machine learning,,,documents comparison,06/10/2023
PSTW-6,Flemish Infoline - Automatic classification of incoming phone calls,https://www.innovatieveoverheidsopdrachten.be/en/projects/1700-supported-artificial-intelligence,"NLP is used to automatically classify incoming telephone questions at the 1700 (Flemish Infoline), to integrally transcribe and document the conversations, and to suggest answers. Informatie Vlaanderen use it to detect and categorise the incoming questions faster and more 'finely-meshed', and also integrate this 'finely-meshed' into the editorial management. In this way, the answers can be suggested more quickly, more adequately and also more 'automatically' to the answer provider, regardless of the chosen communication channel (oral or written). In essence, the project aims at two objectives: (1) the quicker and more efficient capturing and categorising of the question, and (2) the quicker and more efficient forwarding of the 'correctly captioned' question to the 'correct' answer provider with the 'correct' skills, whereby a valid and standardised answer (suggestion) is immediately sent along with it (so that the answer provider does not have to look up the intended answer script).",Regional,Belgium,BE2,"Information Flanders, Belgium",Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2020,,Public services and engagement,Engagement management,No,No,Artificial Intelligence,G2C,x,,,x,x,,,,,,,,,,,,,,https://www.innovatieveoverheidsopdrachten.be/en/projects/1700-supported-artificial-intelligence,Communication,Natural language processing,Machine learning,Searching,Audio processing,speech recognition,06/10/2023
PSTW-7,ILVO - List of multiple AI projects in the agricultural domain,https://ilvo.vlaanderen.be/en/search-results?q=Artificial+intelligence&id=home&l=en,"The Institute for Agricultural, Fisheries and Food Research (ILVO) evaluated the possibilities of Artificial Intelligence for agricultural applications. Most applications are still in an initial phase and often in collaboration with other knowledge centers. Some concrete projects are: o Processing of hyperspectral images for early detection of potato diseases o Automatic health monitoring in cattle (e.g. lameness detection) o Automatic health monitoring in fattening pigs o Image analysis for multiple specific applications (e.g. quality food products, sorting fish species, etc.) o Behavior of plants under the influence of external stimuli o Identification of problem insects (eg zip needles) via camera images o Site-specific detection of problem weeds",National,Belgium,BE100,"Instituut voor Landbouw-, Visserij- en Voedingsonderzoek",Central-Government,Economic affairs,"General economic, commercial and labour affair",In development,2019,,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,G2B,x,,,,x,,,,,,,,,,,,,,"Flemish Parlement Letter: Applications involving Artficial Intelligence. , Pub. L. No. nr. 138 (2017-2018), 2017–2018 2 (2017). and https://www.ilvo.vlaanderen.be/language/en-US/EN/Press-and-Media/All-media/ArticleType/ArticleView/ArticleID/4920.aspx",Perception,Computer vision,Machine learning,,,,06/10/2023
PSTW-8,Belgium - Detection batch numbers vaccines,https://www.kindengezin.be/nl,"Child and Family has a proof of concept regarding recognition and reading of lot numbers on vaccine packages via the camera of a smartphone. Lot numbers on vaccine packages are not standardized. The goal is to make it easier to store the lot number at the vaccination registration, so that it can always be found afterwards with what specific fate a child was vaccinated.",National,Belgium,BE,"Kind en Gezin, Belgium",Central-Government,Health,"Medical products, appliances and equipment.",In development,2018,,Internal management,Internal primary processes,No,No,Artificial Intelligence,G2G,,,,,,,x,x,,,x,,,,,,,,"Flemish Parlement Letter: Applications involving Artficial Intelligence. , Pub. L. No. nr. 138 (2017-2018), 2017–2018 2 (2017).",Perception,Computer vision,Machine learning,,,,06/10/2023
PSTW-9,Verontrustingen - Enabling accurate predictions to detect day-care services inspection,https://www.dialogic.nl/wp-content/uploads/2018/06/VTOM-Small-Kids-Big-Data-Frank-Bongers-mei-2018.pdf,"The Flemish Agency for Child and Family (Kind en Gezin) developed an AI system which enables more accurate predictions to detect day-care services which require further inspection. These inspections enable the agencies to keep the quality of the day-care services high and to improve the wellbeing of children. In facts, there is limited capacity available to conduct all the inspections. The use of data had been considered as way to enhance existing inspection practices and optimize the scarce amount of inspectors. The predictive system developed uses a supervised machine learning method (logistic regression and XGBoost) to analyse various internal and external data from the Health Care Inspection Unit. Combining the recommendations of the predictive system with existing staff experience and expertise enables more targeted and data-driven interventions. ",National,Belgium,BE,"Kind en Gezin, Belgium",Central-Government,Social protection,Family and children.,Implemented,2014,,Enforcement,Predictive enforcement processes,No,No,Artificial Intelligence,G2C,x,,,x,,,,,,,,,,,x,x,,,https://www.dialogic.nl/wp-content/uploads/2018/06/VTOM-Small-Kids-Big-Data-Frank-Bongers-mei-2018.pdf,Learning,Machine learning,Planning and Scheduling,Automated reasoning,,,06/10/2023
PSTW-10,Camera System - Mobile phone usage on vehicles,https://baseline.vias.be/storage/minisites/methodological-guidelines-kpi-distraction.pdf,"Traffic institute Vias is currently testing a new camera system that registers whether a motorist behind the wheel is on the phone with the phone in hand. Using Artificial Intelligence, the system filters the photos showing that the driver is using a smartphone. Other photos are deleted and faces are made unrecognizable. If the police establishes a violation based on that selection, they can issue a fine.",Local,Belgium,BE,Traffic Institute Vias,Local Government,Public order and safety,Police Services,Pilot,2020,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,G2G,,,,,,,x,,x,,x,,,,,,,,https://www.vias.be/nl/newsroom/succesvolle-test-met-camerasysteem-om-gsm-gebruik-achter-het-stuur-te-detecteren-/,Perception,Computer vision,Machine learning,Automated reasoning,,,06/10/2023
